thisRow.t	notes	trial_no	onset_time	words	condition_name	valence	judgement	accurate_onsetTime	reaction_time	rt	responses	answer	setting	words_file	subID	sessionID	runID	
		107	424	realist	SELF	3	SELF	424.0163730000495	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		108	428	logical	UPPERCASE	2	LOWER	428.01651633303845	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		109	432	self-conceited	OBAMA	3	OBAMA	432.0173125830479	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		110	436	illogical	SELF	2	SELF	436.0152615830302	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		111	440	witty	OBAMA	3	OBAMA	440.0167733330163	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		112	444	efficient	SELF	1	SELF	444.0155807500123	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		113	448	understanding	OBAMA	1	OBAMA	448.0155266660149	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		114	452	bashful	UPPERCASE	1	LOWER	452.0165597080486	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		115	456	antisocial	UPPERCASE	1	LOWER	456.0155075000366	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		116	460	generous	SELF	2	SELF	460.01637000002665	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		117	464	scornful	OBAMA	3	OBAMA	464.0179104580311	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		118	468	smug	SELF	3	SELF	468.0164565410232	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		119	472	sincere	UPPERCASE	3	LOWER	472.02054691599915	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		120	476	demanding	UPPERCASE	1	LOWER	476.016348166042	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		121	480	frivolous	UPPERCASE	1	UPPER	480.01644787500845	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		122	484	painstaking	SELF	1	SELF	484.01557941600913	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		123	488	nonchalant	OBAMA	3	OBAMA	488.0165393750067	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		124	492	clear-headed	OBAMA	1	OBAMA	492.0154805830098	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		125	496	sharp-witted	OBAMA	2	OBAMA	496.015778083005	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		126	500	dominating	SELF	1	SELF	500.01605516602285	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		127	504	dependent	UPPERCASE	1	UPPER	504.0177815410425	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		128	508	companionable	UPPERCASE	1	UPPER	508.01628466602415	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		129	512	versatile	OBAMA	3	OBAMA	512.0183198750019	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		130	516	unsympathetic	OBAMA	1	OBAMA	516.0180022910354	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		131	520	forgetful	UPPERCASE	3	LOWER	520.0175302500138	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		132	524	unenterprising	OBAMA	1	OBAMA	524.017571791017	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		133	528	profane	SELF	3	SELF	528.0165517500136	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		134	532	withdrawn	UPPERCASE	3	UPPER	532.0175390000222	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		135	536	unproductive	SELF	2	SELF	536.0166475830483	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		136	540	compulsive	UPPERCASE	3	UPPER	540.015688375046	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		137	544	self-confident	UPPERCASE	3	LOWER	544.0172096250462	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		138	548	constructive	UPPERCASE	1	UPPER	548.0168791250326	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		139	552	profane	OBAMA	2	OBAMA	552.016832791036	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		140	556	creative	OBAMA	2	OBAMA	556.0155593750533	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		141	560	lifeless	OBAMA	2	OBAMA	560.0176120830001	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		142	564	snobbish	SELF	1	SELF	564.0165122910403	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		143	568	creative	UPPERCASE	3	LOWER	568.0159365410218	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		144	572	extravagant	UPPERCASE	2	UPPER	572.0168913750094	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		145	576	argumentative	OBAMA	2	OBAMA	576.0159720410011	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		146	580	sincere	UPPERCASE	3	UPPER	580.0173375830054	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		147	584	self-disciplined	UPPERCASE	2	LOWER	584.0192857910297	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		148	588	temperamental	OBAMA	1	OBAMA	588.0166341250297	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		149	592	compulsive	UPPERCASE	3	LOWER	592.0156828330364	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		150	596	curious	SELF	3	SELF	596.0165356660145	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		151	600	logical	UPPERCASE	3	UPPER	600.016059791029	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		152	604	nonchalant	UPPERCASE	3	UPPER	604.0171728749992	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		153	608	prudent	OBAMA	2	OBAMA	608.0166089160484	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
